Formula                         icsd     idk1 idk2
Ni2Ta2Te4                       71063   53   SEBR
Fe1Nb1Te2                       71520   53   SEBR
Pd1Si1Y1                       408080   59   SEBR
Ho1I1S1                        425285   59   SEBR
Ge5N2Sr6                       154397   59   SEBR
Fe2O1Se2Sr1                    195027   59   SEBR
Fe2O1S2Sr1                     195026   59   SEBR
Fe2O1S2Sr1                     195025   59   SEBR
Co8La1P5                        30701   59   SEBR
Ba6Ge5N2                       154398   59   SEBR
Ba1Ge1Ni2                      421431   59   SEBR
Ba1Fe2O1S2                     428170   59   SEBR
B2Ru1                          421524   59   SEBR
B2Ru1                           31871   59   SEBR
B2Os1                          421523   59   SEBR
Te3U1                           68416   63   SEBR
Sn1Sr1                         106074   63   SEBR
Si6Sr1                         416971   63   SEBR
Si6Sr1                         240779   63   SEBR
Si1Sr1                          78997   63   SEBR
Pd3Te2                          87915   63   SEBR
Pd3Te2                          77902   63   SEBR
Np1Si1                          96149   63   SEBR
Mg1O5V2                         86102   63   SEBR
Mg1O5V2                         50981   63   SEBR
Mg1O5V2                         50979   63   SEBR
La2Sn1Zn5                      250752   63   SEBR
La2Pb1Zn5                      250756   63   SEBR
La2Li2Si3                      423611   63   SEBR
La1Rh1Sn2                      410732   63   SEBR
La1Ni5P3                        38311   63   SEBR
In5Y3                          165363   63   SEBR
In5La3                         165362   63   SEBR
In4Ni1Sr1                      418178   63   SEBR
In2La1Rh1                      412431   63   SEBR
In2Ir1La1                      414479   63   SEBR
Hf3Ni2Si3                      200067   63   SEBR
H5Li4Rh1                        26225   63   SEBR
Ge3La2Li2                      262431   63   SEBR
Ge2Ni1Sr1                      240343   63   SEBR
Fe2O3                          189439   63   SEBR
Cu3Ho2K1Se5                    174371   63   SEBR
Cu1Ho2K1Se4                     95028   63   SEBR
Cu1Ho2K1S4                      97561   63   SEBR
Cs1Sc1Se5U1                    429089   63   SEBR
Cs1Cu3Ho2Se5                   413677   63   SEBR
Cr2Mg1O4                       236871   63   SEBR
Co3Ga9Ho2                       20952   63   SEBR
Ce2Sn1Zn5                      250753   63   SEBR
Ce2Pb1Zn5                      250757   63   SEBR
Ce2Ge3Li2                       63036   63   SEBR
Ce2Ge3Li2                      262430   63   SEBR
Cd2F1Sb5Sr5                    421810   63   SEBR
Ca2In1N1                        96228   63   SEBR
Ca1Sn1                         165193   63   SEBR
Ca1Pd1Sn2                      410774   63   SEBR
Ca1In2Pt1                      408880   63   SEBR
Ca1In2Pd1                      408881   63   SEBR
Ca1Ge2Ni1                      240342   63   SEBR
Ca1Fe5O7                        16356   63   SEBR
Ca1Fe3O5                        16354   63   SEBR
C1Fe2Si1Th1                     75133   63   SEBR
Ba5Cd2F1Sb5                    421809   63   SEBR
Ba3Pb5                         411979   63   SEBR
Ba3Pb5                         165184   63   SEBR
Ba1Zn5                         418610   63   SEBR
Ba1Si6                         710014   63   SEBR
Ba1Si6                         245295   63   SEBR
Ba1Si1                          78998   63   SEBR
Ba1Ru3Sn6                      427286   63   SEBR
Ba1Pb1                          58664   63   SEBR
Ba1Ge6                         251583   63   SEBR
Ba1Fe2Se3                      290596   63   SEBR
Ba1Fe2Se3                      290594   63   SEBR
Ba1Fe2S3                        16307   63   SEBR
B7Fe1Y3                         64596   63   SEBR
B4Mg1Os3                        91243   63   SEBR
B2Cr2Ir1                       418162   63   SEBR
Al9Co3Y2                       104653   63   SEBR
Al6Ru1                          58157   63   SEBR
Al2Fe3Si4                       83665   63   SEBR
Al1Si1Y1                        99138   63   SEBR
Al1Ge1Y1                        76295   63   SEBR
Al1Fe1.5Si2                    426322   63   SEBR
Sn3Ti2                         411192   64   SEBR
Sn3Ti2                         410902   64   SEBR
