Formula                         icsd     idk1 idk2
Cs2Mo12Te14                     84337  148   SEBR
Cs2Mo12Se14                     40820  148   SEBR
Cr2Se3                         106520  148   SEBR
Cr2Ge2Te6                       79270  148   SEBR
Cr2Ge2Te6                       79268  148   SEBR
Cr1Fe1O3                       252042  148   SEBR
Cl3Ti1                          39426  148   SEBR
Cl12N1Sc7                      201976  148   SEBR
Ce1Pt5Sb1                      183603  148   SEBR
Ca1Mo6S8                        62388  148   SEBR
Br3Ti1                          39242  148   SEBR
Ba6N6O1Os2                     419467  148   SEBR
Ba1Ni2O8V2                      96087  148   SEBR
Ba1Ni2O8V2                      96086  148   SEBR
Ba1Mo6S8                        85489  148   SEBR
Ba1Mo6S8                        65776  148   SEBR
Ba1Mo6S8                        62157  148   SEBR
Ba1Co2O8P2                      59343  148   SEBR
Au5Mn1Y3                       237739  148   SEBR
Ag1Bi1O3                        91777  148   SEBR
Ag1Bi1O3                        89432  148   SEBR
O6U1V2                          28086  162   SEBR
Cr2O6U1                           275  162   SEBR
Cr2O6U1                         15133  162   SEBR
Ba1Fe4O8Sr1                     37011  162   SEBR
Ag6O2                           26557  162   SEBR
Mo1Ni1P8                        71037  163   SEBR
Al1F6Li1Yb1                    411131  163   SEBR
Te2Zr1                         657478  164   SEBR
Si1Te2                          80205  164   SEBR
Sb2Yb1Zn2                      419689  164   SEBR
Sb2Yb1Zn2                      380377  164   SEBR
Sb2Te1                          69557  164   SEBR
Pt1Te2                          41385  164   SEBR
Pt1Te2                          41373  164   SEBR
Pd1Te2                          83642  164   SEBR
Pd1Te2                          42555  164   SEBR
Pd1Te2                          42554  164   SEBR
Pd1Te2                          41387  164   SEBR
P2Yb1Zn2                       100271  164   SEBR
Ni1Te2                          43293  164   SEBR
Ni1Te2                          42559  164   SEBR
Nd2O3                           28180  164   SEBR
Nd2O2Se1                        25806  164   SEBR
Mn2Sb2Yb1                      380376  164   SEBR
Mn2Sb2Sr1                       41790  164   SEBR
Mn2Sb2Sr1                      416094  164   SEBR
Mn2P2Sr1                        77670  164   SEBR
Mn2P2Sr1                        77669  164   SEBR
Mn2P2Sr1                        49019  164   SEBR
Mg2Sb2Yb1                      412655  164   SEBR
In2S4Zn1                       660273  164   SEBR
In2S4Zn1                        42668  164   SEBR
Ho2O2Se1                        25809  164   SEBR
Hg1Pt2Se3                      185808  164   SEBR
H2Cd1O2                         56153  164   SEBR
H1Si1                           41478  164   SEBR
Ge2Sb2Te5                       42876  164   SEBR
Ge1Sb4Te7                       42875  164   SEBR
Gd2O2Se1                        25808  164   SEBR
Fe2K3Na1O8                     159909  164   SEBR
Fe2In2Se5                      155025  164   SEBR
Er2O2Se1                        25810  164   SEBR
Cd2Sb2Yb1                       78989  164   SEBR
Cd2Sb2Yb1                      419690  164   SEBR
Ca1Si2                         248526  164   SEBR
Ca1Si2                         248525  164   SEBR
Ca1Si2                         248524  164   SEBR
Ca1Si2                         248523  164   SEBR
Ca1Si2                         248522  164   SEBR
Ca1Si2                         248521  164   SEBR
Ca1Si2                         248519  164   SEBR
Ca1Mn2Sb2                       41789  164   SEBR
Ca1Mn2Sb2                      416093  164   SEBR
Ca1Mn2Sb2                      163778  164   SEBR
Ca1Mn2P2                        49017  164   SEBR
C6N6Pt1Rb2S6                    35512  164   SEBR
C6K2N6Pt1S6                     35511  164   SEBR
C6H8N8Pt1S6                     35510  164   SEBR
C1V2                             5005  164   SEBR
C1Ta2                          409555  164   SEBR
C1Nb2S2                         95113  164   SEBR
C1Nb2S2                         95111  164   SEBR
C1Nb2S2                         95109  164   SEBR
C1Nb2S2                        656705  164   SEBR
C1F2Ho2                         71625  164   SEBR
Bi4Pb1Te7                       42753  164   SEBR
Bi4Pb1Te7                       42707  164   SEBR
Bi4Pb1Te7                      250249  164   SEBR
Bi4Ge1Te7                       42891  164   SEBR
Bi2Pb2Te5                       42708  164   SEBR
Bi2Pb2Se5                       30372  164   SEBR
Bi2Mg3                         659569  164   SEBR
Bi2Ca1Mn2                       41791  164   SEBR
Bi2Ca1Mg2                      100048  164   SEBR
Bi1Te1                          30525  164   SEBR
Bi1Te1                         100654  164   SEBR
Ba6Cl2O12Ru3                    99681  164   SEBR
Ba3Ca1O9Ru2                    152482  164   SEBR
Ba1Sn2                         409958  164   SEBR
As2Mn2Zn1                       39512  164   SEBR
As2Mn2Sr1                       49020  164   SEBR
As2Mn2Sr1                       41793  164   SEBR
As2Ge5Te8                       63174  164   SEBR
As2Ca1Mn2                       41792  164   SEBR
Al2Si2Yb1                      411054  164   SEBR
Al2Ge2Yb1                      411056  164   SEBR
Al2Ge2Yb1                      409458  164   SEBR
Al2Ce1Ge2                       50976  164   SEBR
Al1La1Si2                       94501  164   SEBR
H3Y1                           154809  165   SEBR
As1Cu3                          26776  165   SEBR
Yb2Zn17                        653496  166   SEBR
Yb2Zn17                        653487  166   SEBR
Yb2Zn17                        104207  166   SEBR
Y2Zn17                         653467  166   SEBR
Y2Zn17                         104239  166   SEBR
U2Zn17                         653389  166   SEBR
U2Zn17                         653384  166   SEBR
U2Zn17                         106208  166   SEBR
U2Zn17                         106207  166   SEBR
U2Zn17                         104248  166   SEBR
Tm2Zn17                        653358  166   SEBR
Tm2Zn17                        104246  166   SEBR
Te1Zr3                         653216  166   SEBR
Te1                             52499  166   SEBR
Sn3Sr1                         410956  166   SEBR
Se1Ti1                         652055  166   SEBR
Sb8Te3                         152188  166   SEBR
Sb48Te9                        152189  166   SEBR
Sb3Te4.5                       291530  166   SEBR
Sb2V3                          651728  166   SEBR
Sb2V3                           41814  166   SEBR
Sb2Te3                         651638  166   SEBR
Sb2Te3                         651635  166   SEBR
Sb2Te3                         651629  166   SEBR
Sb2Te3                           5420  166   SEBR
Sb2Te3                         262171  166   SEBR
Sb2Te3                           2084  166   SEBR
Sb2Te3                          20236  166   SEBR
Sb2Te3                         193347  166   SEBR
Sb2Te3                         193346  166   SEBR
Sb2Te3                         193345  166   SEBR
Sb2Te3                         193344  166   SEBR
Sb2Te3                         193343  166   SEBR
Sb2Te3                         193342  166   SEBR
Sb2Te3                         193341  166   SEBR
Sb2Te3                         192780  166   SEBR
Sb2Te3                         187495  166   SEBR
Sb2Te3                         185952  166   SEBR
Sb2Te3                         185951  166   SEBR
Sb2Te3                         185950  166   SEBR
Sb2Te3                         185949  166   SEBR
Sb2Te3                         185948  166   SEBR
Sb2Te3                         185947  166   SEBR
Sb2Te3                         185946  166   SEBR
Sb2Te3                         185945  166   SEBR
Sb2Sn1Te4                      657316  166   SEBR
Sb2Sn1Te4                       30392  166   SEBR
Sb2Se2Te1                      651529  166   SEBR
Sb2Se2Te1                       52295  166   SEBR
Sb2Se1Te2                       87416  166   SEBR
Sb2Se1Te2                        2085  166   SEBR
Sb1Te2Tl1                      651646  166   SEBR
Sb1Te2Tl1                       15411  166   SEBR
Sb1                            651506  166   SEBR
Sb1                            651498  166   SEBR
Sb1                            651497  166   SEBR
Sb1                            651491  166   SEBR
Sb1                            651490  166   SEBR
Sb1                            651489  166   SEBR
Sb1                            651488  166   SEBR
Sb1                             64697  166   SEBR
Sb1                             64696  166   SEBR
Sb1                             64695  166   SEBR
Sb1                             55402  166   SEBR
Sb1                             53795  166   SEBR
Sb1                            409754  166   SEBR
Sb1                            161493  166   SEBR
S2Ta1                           24757  166   SEBR
S1Ti1                          651179  166   SEBR
S1Ti1                           25561  166   SEBR
S1Ti1                          184500  166   SEBR
Pu2Zn17                        650000  166   SEBR
Pt3Te4                          41372  166   SEBR
Pt2Te3                          41371  166   SEBR
Pt1Te1                          41370  166   SEBR
Pr2Zn17                        649479  166   SEBR
Pr2Zn17                        649469  166   SEBR
Pr2Zn17                        104241  166   SEBR
Pr1                             54338  166   SEBR
Pd3S2Tl2                       648763  166   SEBR
Pd3S2Tl2                       648762  166   SEBR
P1                             600019  166   SEBR
P1                              53301  166   SEBR
O1P1Pr1Zn1                     416476  166   SEBR
Ni7Yb2                         647123  166   SEBR
Ni7Th2                         646928  166   SEBR
Ni3Ti0.67Zr0.33                646978  166   SEBR
Ni3S2Tl2                       646399  166   SEBR
Ni3S2Tl2                       646398  166   SEBR
Ni3S2Tl2                       422328  166   SEBR
Ni3S2Tl2                       108893  166   SEBR
Ni3S2Sn2                       654948  166   SEBR
Ni3S2Sn2                       646380  166   SEBR
Ni3S2Sn2                       646379  166   SEBR
Ni3S2Sn2                       402458  166   SEBR
Ni3S2Sn2                       100217  166   SEBR
Ni3Pb2Se2                      646211  166   SEBR
Ni3Pb2Se2                      646210  166   SEBR
Ni3Pb2Se2                      402453  166   SEBR
Ni3Pb2Se2                      108892  166   SEBR
Ni3Pb2S2                       646207  166   SEBR
Ni3Pb2S2                       646206  166   SEBR
Ni3Pb2S2                       417632  166   SEBR
Ni3Pb2S2                        24176  166   SEBR
Ni3Pb2S2                       108895  166   SEBR
Ni1O12Re2Sr4                    16419  166   SEBR
Nd2Zn17                        646072  166   SEBR
Nd2Zn17                        601895  166   SEBR
Nd2Zn17                        104242  166   SEBR
Nb6Zn7                         645562  166   SEBR
N2W1                            30364  166   SEBR
Mg2O14Pr3Sb3                   431727  166   SEBR
Mg2Ni3Si1                       44926  166   SEBR
Mg2Nd1Ni9                       55617  166   SEBR
Li8Pb3                          41369  166   SEBR
Li5Na2Sn4                      104760  166   SEBR
La1Rh3                         641738  166   SEBR
La1Rh3                         641724  166   SEBR
Ir7Nd2                         640862  166   SEBR
In2Te3                         657607  166   SEBR
In2Te3                         640609  166   SEBR
In2Ni3Se2                      640141  166   SEBR
In2Ni3Se2                      640140  166   SEBR
In2Ni3S2                       640135  166   SEBR
In2Ni3S2                       640134  166   SEBR
In2Ni3S2                       415258  166   SEBR
In2Ni3S2                       108894  166   SEBR
I1N1Sr2                        172602  166   SEBR
Hg1                            654919  166   SEBR
Hg1                             53771  166   SEBR
Hg1                            174006  166   SEBR
Hg1                            174005  166   SEBR
Hg1                            104296  166   SEBR
Hf1Ni3                         638697  166   SEBR
Hf1Ni3                           2414  166   SEBR
H9Fe3O15S2                     171105  166   SEBR
H8N2O8Pb1S2                     15888  166   SEBR
H6Mg1Nb2                       195640  166   SEBR
H6Fe3O14Pb1S2                   67682  166   SEBR
H6Al3Na1O14S2                   44626  166   SEBR
H4Cu1N1O3S1                     24344  166   SEBR
H4Co3Y1                        623755  166   SEBR
H4Co3Y1                        623744  166   SEBR
H4Co3Y1                        604264  166   SEBR
H4Co3Y1                        602920  166   SEBR
H4Co3Pr1                       623723  166   SEBR
H4Co3Ho1                       623698  166   SEBR
H4Co3Ho1                       602925  166   SEBR
H3Co3Y1                        623752  166   SEBR
H3Cl1Co2O3                      24685  166   SEBR
H3Cl1Co2O3                     155534  166   SEBR
H2N2Th1                          6016  166   SEBR
H2Mo1O4Rb2S1                   423880  166   SEBR
H1Co3Y1                        623746  166   SEBR
H1Cl1Sc1                        40981  166   SEBR
H12K2N6Sn1                        911  166   SEBR
H1.24Co3Y1                     159891  166   SEBR
Ge2Nd2Zn15                      94220  166   SEBR
Ge2Li4Zr1                       99161  166   SEBR
Gd1O1P1Zn1                     418524  166   SEBR
Gd1Ni3                         636033  166   SEBR
Gd1Ni3                         236382  166   SEBR
Gd1                             52517  166   SEBR
Ga7Rb1                          38267  166   SEBR
Ga2Te3                         657608  166   SEBR
Ga1P1                          635031  166   SEBR
Ga1Mn1                          96491  166   SEBR
Ga1Ge1Te1                       35386  166   SEBR
Ga1                              2513  166   SEBR
Fe7W6                          634071  166   SEBR
Fe7W6                          634063  166   SEBR
Fe7W6                          634060  166   SEBR
Fe7W6                          103694  166   SEBR
Fe7Nb6                         632784  166   SEBR
Fe7Mo6                         632622  166   SEBR
Fe7Mo6                         632620  166   SEBR
Fe3Th1                         633920  166   SEBR
Fe3Th1                         633909  166   SEBR
Fe3Th1                         633896  166   SEBR
Fe3Th1                         633886  166   SEBR
Fe3Th1                         103654  166   SEBR
Fe3Sn2                             71  166   SEBR
Fe2O4Yb1                         4192  166   SEBR
Fe17Nd2                        190272  166   SEBR
F1Nd1O1                        184005  166   SEBR
F1Ho1O1                        184011  166   SEBR
Eu2I1P1                        202068  166   SEBR
Eu1In1Ni5                      261705  166   SEBR
Er1Ni3                         630836  166   SEBR
Er1F1O1                        184012  166   SEBR
Dy2Zn17                        630377  166   SEBR
Dy2Ni7                         629979  166   SEBR
Dy2Ni7                         262377  166   SEBR
Dy1Ni3                         630007  166   SEBR
Dy1Ni3                         629986  166   SEBR
Dy1Fe3                         629598  166   SEBR
Dy1F1O1                        184010  166   SEBR
Dy1                            629540  166   SEBR
Dy1                            629537  166   SEBR
Dy1                             52518  166   SEBR
D4Er1Ni3                       152846  166   SEBR
Cu1N2Ta1                       190938  166   SEBR
Cu1I1                           80259  166   SEBR
Cu1I1                           80257  166   SEBR
Cs9F27Ni9                      410393  166   SEBR
Cs4F12Fe2K1Li1                  78928  166   SEBR
Cs2F6Fe1Na1                      9003  166   SEBR
Cs1Ga7                         102864  166   SEBR
Co7Y2                          625563  166   SEBR
Co7Th2                         625438  166   SEBR
Co7Th2                         625416  166   SEBR
Co7Pr2                         184367  166   SEBR
Co7La2                         623985  166   SEBR
Co7La2                         623978  166   SEBR
Co7Gd2                         623284  166   SEBR
Co7Dy2                         658884  166   SEBR
Co3Y1                          625605  166   SEBR
Co3Y1                          625600  166   SEBR
Co3Y1                          102729  166   SEBR
Co3Tm1                         625506  166   SEBR
Co3Tm1                         625499  166   SEBR
Co3Tb1                         625395  166   SEBR
Co3Tb1                         625384  166   SEBR
Co3Tb1                         625379  166   SEBR
Co3Tb1                         625367  166   SEBR
Co3Tb1                         625357  166   SEBR
Co3Ta1                          24581  166   SEBR
Co3Pr1                         624740  166   SEBR
Co3Pr1                         624707  166   SEBR
Co3Pr1                         624697  166   SEBR
Co3Pr1                         168733  166   SEBR
Co3Pr1                         108889  166   SEBR
Co3Lu1                         624054  166   SEBR
Co3Lu1                         624039  166   SEBR
Co3Ho1                         623867  166   SEBR
Co1Li1O2                       246307  166   SEBR
Co10Ge3O16                      79717  166   SEBR
Cl8Na2Ti3                      401026  166   SEBR
Cl1Zr1                            869  166   SEBR
Cl1Zr1                          20145  166   SEBR
Cl1O1Yb1                         6077  166   SEBR
Cl1La1                          24410  166   SEBR
Ce2Cu5Zn2                      154513  166   SEBR
Ce2Co7                         620668  166   SEBR
Ce2Co7                         620636  166   SEBR
Cd1Cs4F12Ni3                   201355  166   SEBR
Ca2Ni7                         619443  166   SEBR
Ca2Ge1Pd3                      424597  166   SEBR
Ca1Si2                          52789  166   SEBR
Ca1Si2                         409057  166   SEBR
Ca1Si2                          32006  166   SEBR
Ca1Si2                         248518  166   SEBR
Ca1Si2                         248517  166   SEBR
Ca1Si2                         248516  166   SEBR
Ca1Si2                         248515  166   SEBR
Ca1Si2                         193539  166   SEBR
Ca1Si2                          15632  166   SEBR
Ca1Ge2                          77316  166   SEBR
Ca1Ge2                         619304  166   SEBR
Ca1Ge2                         245612  166   SEBR
Ca1Ge2                         110107  166   SEBR
C5Ti8                           20822  166   SEBR
C3Er2Fe17                      659087  166   SEBR
C2Ba1Ce1F1O6                    74178  166   SEBR
C1Y2                            96188  166   SEBR
C1Y2                            22283  166   SEBR
C1S2Ta2                         23791  166   SEBR
C1Nb2S2                         95112  166   SEBR
C1Nb2S2                         95110  166   SEBR
C1                              53780  166   SEBR
C1                              31829  166   SEBR
C1                              29123  166   SEBR
C1B2U1                         602542  166   SEBR
C1B2U1                          44142  166   SEBR
C1B2Pu1                        238975  166   SEBR
Br1Zr1                           1168  166   SEBR
Br1La1                          23354  166   SEBR
Bi6Pb1Te10                      95551  166   SEBR
Bi4Se3                          20319  166   SEBR
Bi2Te3                          74348  166   SEBR
Bi2Te3                         658764  166   SEBR
Bi2Te3                          44983  166   SEBR
Bi2Te3                          42546  166   SEBR
Bi2Te3                         193340  166   SEBR
Bi2Te3                         193339  166   SEBR
Bi2Te3                         193338  166   SEBR
Bi2Te3                         193337  166   SEBR
Bi2Te3                         193336  166   SEBR
Bi2Te3                         193335  166   SEBR
Bi2Te3                         193334  166   SEBR
Bi2Te3                         193333  166   SEBR
Bi2Te3                         193332  166   SEBR
Bi2Te3                         193331  166   SEBR
Bi2Te3                         193330  166   SEBR
Bi2Te3                         184631  166   SEBR
Bi2Te3                         158366  166   SEBR
Bi2Te3                          15753  166   SEBR
Bi2Se3                          42545  166   SEBR
Bi2Se3                          20385  166   SEBR
Bi2Se3                         165226  166   SEBR
Bi2Se2Te1                       54838  166   SEBR
Bi2Se1Te2                       43512  166   SEBR
Bi2Ge1Te4                      658633  166   SEBR
Bi2Ge1Te4                       30394  166   SEBR
Bi1                             64705  166   SEBR
Bi1                             64704  166   SEBR
Bi1                             64703  166   SEBR
Bi1                             53797  166   SEBR
Bi1                            246663  166   SEBR
Bi1                            242004  166   SEBR
Bi1                            242003  166   SEBR
Bi1                            242002  166   SEBR
Bi1                            242001  166   SEBR
Bi1                            242000  166   SEBR
Bi1                            241999  166   SEBR
Bi1                            241984  166   SEBR
Bi1                            241983  166   SEBR
Be17Nb2                         58724  166   SEBR
Ba7Cl2O15Ru4                    71755  166   SEBR
Ba7Br2O15Ru4                    73069  166   SEBR
Ba3O9Sc4                        20621  166   SEBR
Ba3Mn2O8                       280045  166   SEBR
Ba2Ni1O6Te1                     25005  166   SEBR
Ba2Mg17                         58660  166   SEBR
Ba1Pb3                          58665  166   SEBR
Ba1Pb3                         419973  166   SEBR
Ba1O3Ru1                        99682  166   SEBR
Ba1O3Ru1                        91075  166   SEBR
Ba1O3Ru1                        51293  166   SEBR
Ba1O3Ru1                       172175  166   SEBR
Ba1O3Ru1                       110770  166   SEBR
Ba1O3Ru1                        10253  166   SEBR
Ba1Ni4O8                        20898  166   SEBR
B4Mo2                           39554  166   SEBR
B4Mo2                          191908  166   SEBR
B3Fe1Nd2                        44297  166   SEBR
B3Co1Dy2.5                     601082  166   SEBR
B2Mo1                           44451  166   SEBR
B2Mo1                          418398  166   SEBR
B2Mo1                          418397  166   SEBR
B2Mo1                           40907  166   SEBR
B2Mo1                          252125  166   SEBR
B2Ce2Ir5                        97343  166   SEBR
As3Cd4Rb1                      262037  166   SEBR
As3Cd4Na1                      431348  166   SEBR
As3Cd4Na1                      262035  166   SEBR
As3Cd4K1                       262032  166   SEBR
As2Te3                          68110  166   SEBR
As2Sn2Sr1                       82371  166   SEBR
As2Ge4Te7                       68114  166   SEBR
As2Ca1Ga2                      422526  166   SEBR
As1                             53794  166   SEBR
As1                             16518  166   SEBR
As1                             16517  166   SEBR
As1                             16516  166   SEBR
Al6Gd2Pt1Si4                   281656  166   SEBR
Al6Dy2Pt1Si4                   281660  166   SEBR
Al3Tb1                          58175  166   SEBR
Al3Tb1                         150557  166   SEBR
Al10Ba7                        420092  166   SEBR
Ag4Sb2Sr1                      424311  166   SEBR
Ag2Ni1O2                       416373  166   SEBR
Ag2Ni1O2                       412279  166   SEBR
Ag2Ni1O2                       172558  166   SEBR
Ag2Ni1O2                       160582  166   SEBR
Ag2Ni1O2                       160581  166   SEBR
Ag2Ni1O2                       160580  166   SEBR
Ag2Ni1O2                       160579  166   SEBR
Ag2Ni1O2                       160578  166   SEBR
Ag2Ni1O2                       160577  166   SEBR
Ag2Ni1O2                       160576  166   SEBR
Ag2Ni1O2                       160575  166   SEBR
Ag2Ni1O2                       160574  166   SEBR
Ag1Ge1Li2                      251620  166   SEBR
S3Yb2                           83385  167   SEBR
S3Yb2                           75248  167   SEBR
O3V2                            95761  167   SEBR
O3V2                            95760  167   SEBR
O3V2                            94768  167   SEBR
O3V2                            64796  167   SEBR
O3V2                            64786  167   SEBR
O3V2                            25780  167   SEBR
O3V2                           201109  167   SEBR
O3V2                           201108  167   SEBR
O3V2                           201107  167   SEBR
O3V2                           201106  167   SEBR
O3V2                             1874  167   SEBR
O3V2                             1873  167   SEBR
O3V2                             1872  167   SEBR
O3V2                             1870  167   SEBR
O3V2                             1869  167   SEBR
O3V2                             1473  167   SEBR
La1Mn1O3                        55973  167   SEBR
La1Mn1O3                        55972  167   SEBR
La1Mn1O3                        55971  167   SEBR
La1Mn1O3                        55970  167   SEBR
La1Mn1O3                        55969  167   SEBR
La1Mn1O3                        55968  167   SEBR
La1Mn1O3                        55967  167   SEBR
La1Mn1O3                        55966  167   SEBR
La1Mn1O3                       180179  167   SEBR
La1Mn1O3                       161927  167   SEBR
La1Mn1O3                       155545  167   SEBR
La1Mn1O3                       154049  167   SEBR
La1Mn1O3.31                    167061  167   SEBR
La1Mn1O3.29                    167062  167   SEBR
La1Mn1O3.26                    167065  167   SEBR
La1Mn1O3.26                    167064  167   SEBR
La1Mn1O3.22                    167066  167   SEBR
La1Mn1O3.15                    167068  167   SEBR
La1Mn1O3.13                    167069  167   SEBR
Fe2O3                           96074  167   SEBR
Fe2O3                           96072  167   SEBR
Fe2O3                           96070  167   SEBR
Fe2O3                           96069  167   SEBR
Fe2O3                           88418  167   SEBR
Fe2O3                           88417  167   SEBR
Fe2O3                           82904  167   SEBR
Fe2O3                           82903  167   SEBR
Fe2O3                           82902  167   SEBR
Fe2O3                           82137  167   SEBR
Fe2O3                           82136  167   SEBR
Fe2O3                           82135  167   SEBR
Fe2O3                           82134  167   SEBR
Fe2O3                           81248  167   SEBR
Fe2O3                           71194  167   SEBR
Fe2O3                           66756  167   SEBR
Fe2O3                           64599  167   SEBR
Fe2O3                           56372  167   SEBR
Fe2O3                           43465  167   SEBR
Fe2O3                          415251  167   SEBR
Fe2O3                           40142  167   SEBR
Fe2O3                           24791  167   SEBR
Fe2O3                          245851  167   SEBR
Fe2O3                           24004  167   SEBR
Fe2O3                           22505  167   SEBR
Fe2O3                          201101  167   SEBR
Fe2O3                          201100  167   SEBR
Fe2O3                          201099  167   SEBR
Fe2O3                          201098  167   SEBR
Fe2O3                          201097  167   SEBR
Fe2O3                          201096  167   SEBR
Fe2O3                          184766  167   SEBR
Fe2O3                          182848  167   SEBR
Fe2O3                          182847  167   SEBR
Fe2O3                          182846  167   SEBR
Fe2O3                          182845  167   SEBR
Fe2O3                          182844  167   SEBR
Fe2O3                          182843  167   SEBR
Fe2O3                          182842  167   SEBR
Fe2O3                          182841  167   SEBR
Fe2O3                          182840  167   SEBR
Fe2O3                          182839  167   SEBR
Fe2O3                          173655  167   SEBR
Fe2O3                          173653  167   SEBR
Fe2O3                          161294  167   SEBR
Fe2O3                          161293  167   SEBR
Fe2O3                          161292  167   SEBR
Fe2O3                          161291  167   SEBR
Fe2O3                          161290  167   SEBR
Fe2O3                          161289  167   SEBR
Fe2O3                          161288  167   SEBR
Fe2O3                          161287  167   SEBR
Fe2O3                          161286  167   SEBR
Fe2O3                          161285  167   SEBR
Fe2O3                          161284  167   SEBR
Fe2O3                          161283  167   SEBR
Fe2O3                           15840  167   SEBR
Fe2O3                          154191  167   SEBR
Fe2O3                          154190  167   SEBR
Cr2O3                          173470  167   SEBR
Cr2Cs3I9                       201966  167   SEBR
Br6Cd1Rb4                       60625  167   SEBR
Ba3O9Os2                       243759  167   SEBR
Ba3Cr2S6                        97540  167   SEBR
Au3Ga7Yb1                      402170  167   SEBR
Al7Au3Ce1                      391101  167   SEBR
Ba4Nb2O9                       251133  176   SEBR
Si5Yb3                          51718  189   SEBR
Si5Yb3                         415599  189   SEBR
Si5Yb3                         408117  189   SEBR
Pt1Sn1Yb1                      410418  189   SEBR
O1Ti1                          196273  189   SEBR
Mg1Tl1Y1                       414438  189   SEBR
Li5N3Ni3                       411152  189   SEBR
La1Rh1Sn1                      415594  189   SEBR
La1Mg1Tl1                      414439  189   SEBR
In1Mg1Y1                       160910  189   SEBR
Ho1Rh1Sn1                      411821  189   SEBR
Hf6Ni1Sb2                       85966  189   SEBR
Ge1Pd1Ti1                      409925  189   SEBR
Ga1Mg1Y1                       240950  189   SEBR
Ga1Mg1Y1                       160909  189   SEBR
Ga1La1Mg1                      413276  189   SEBR
Cu1La1Mg4                      418214  189   SEBR
Cu1Ge1Sc1                      428473  189   SEBR
Ce2Ge3Zn6                       98233  189   SEBR
Ce1Pt1Sn1                      415492  189   SEBR
Ce1Pd1Sn1                      416969  189   SEBR
Ce1In1Ir1                      100002  189   SEBR
Cd1Ce1Pt1                      428851  189   SEBR
Ba1Bi1Na1                      413810  189   SEBR
Au1Ge2In3Yb3                   261317  189   SEBR
Au1Ga1Mg1                      192086  189   SEBR
Al1Mg1Y1                       160908  189   SEBR
Ag1Pb1Y1                       107275  189   SEBR
Ag1Ca1P1                        10016  189   SEBR
Ag1As1Ca1                       10017  189   SEBR
La10O3Si8                      173575  191   SEBR
Ga2Sr1                         417224  191   SEBR
Ga2Sr1                         260654  191   SEBR
Ga2Sr1                         246236  191   SEBR
Co2In9K1                       260251  191   SEBR
Ce1Pd2Zn3                      419163  191   SEBR
Ca1Zn5                         418614  191   SEBR
Ba1Sn5                         107305  191   SEBR
Ba1Ga2                         417213  191   SEBR
Ba1Ga2                         246238  191   SEBR
B2Ti1                           78848  191   SEBR
B2Ti1                           78847  191   SEBR
B2Ti1                           56723  191   SEBR
B1Ca1Ni4                        36504  191   SEBR
Sn3Ti5                         109292  193   SEBR
Si3Ti5                          62591  193   SEBR
Si3Ti5                          44386  193   SEBR
Pb3Zr5                         105649  193   SEBR
Nb1Sb5U3                       154390  193   SEBR
K3N1                            99999  193   SEBR
Hf5Sn3                         104273  193   SEBR
Ge3Zr5                          76315  193   SEBR
Ge3Hf5                          44361  193   SEBR
Zn1                            421015  194   SEBR
Zn1                            421014  194   SEBR
Zn1                            421013  194   SEBR
Zn1                            247162  194   SEBR
Zn1                            247161  194   SEBR
Zn1                            247160  194   SEBR
Zn1                            247159  194   SEBR
Zn1                            247158  194   SEBR
Zn1                            247157  194   SEBR
Zn1                            247156  194   SEBR
Zn1                            247155  194   SEBR
Zn1                            247154  194   SEBR
Zn1                            247153  194   SEBR
Zn1                            247152  194   SEBR
Zn1                            247151  194   SEBR
Zn1                            247150  194   SEBR
Zn1                            247149  194   SEBR
Zn1                            247148  194   SEBR
Zn1                            247147  194   SEBR
Mn1O3Y1                        422990  194   SEBR
Mn1O3Y1                        422989  194   SEBR
Mn1O3Y1                        422982  194   SEBR
Mn1O3Y1                        182284  194   SEBR
Mn1O3Y1                        181182  194   SEBR
Mg1Ni2                         193568  194   SEBR
I1La1                          171451  194   SEBR
Gd1Ge1Zn1                      163344  194   SEBR
Fe0.25S2Ta1                    417150  194   SEBR
Ce1Sn1Zn1                      420050  194   SEBR
Ce1Sn1Zn1                      152624  194   SEBR
Ce1Ge1Zn1                      420186  194   SEBR
Ce1Ge1Zn1                      163343  194   SEBR
C6Co1N6Pr1                     425673  194   SEBR
C2Si1Ti3                       180423  194   SEBR
C2Si1Ti3                       180422  194   SEBR
C2Si1Ti3                       180421  194   SEBR
C2Si1Ti3                       180420  194   SEBR
C2Si1Ti3                       180419  194   SEBR
C2Si1Ti3                       153264  194   SEBR
C2Ge1Ti3                       180431  194   SEBR
C2Ge1Ti3                       180430  194   SEBR
C2Ge1Ti3                       180429  194   SEBR
C2Ge1Ti3                       180428  194   SEBR
C2Ge1Ti3                       180427  194   SEBR
C2Ge1Ti3                       180426  194   SEBR
C2Ge1Ti3                       180425  194   SEBR
C2Ge1Ti3                       180424  194   SEBR
C2Al1Ta3                       249399  194   SEBR
Ba1O3Ru1                       246019  194   SEBR
Ba1O3Ru1                       173866  194   SEBR
Ba1O3Ru1                       160287  194   SEBR
Ba1Cr1O3                       192940  194   SEBR
Ba1Cr1O3                       192939  194   SEBR
Au1Ce1Sb1                      251687  194   SEBR
Cu4O12V4                       195439  204   SEBR
Cu4O12V4                       195438  204   SEBR
Cu3Na1O12Ru4                    51893  204   SEBR
Cr4Cu3O12Y1                    248615  204   SEBR
